Gener_No,BestFit,AvgFit,maxFitValue
194,1084.8160681762397,1228.1909519641404,1406.6113318808175
195,1084.8160681762397,1228.0555239959983,1406.6113318808175
196,1084.8160681762397,1225.8693147620272,1349.7649709816758
197,1084.8160681762397,1222.4119406341401,1349.7649709816758
198,1084.8160681762397,1220.0082554705111,1349.7649709816758
199,1084.8160681762397,1220.0082554705111,1349.7649709816758
200,1084.8160681762397,1219.2391130441881,1349.7649709816758
201,1084.8160681762397,1218.2448400324456,1343.5796302723331
202,1084.8160681762397,1217.3514474861702,1343.5796302723331
203,1084.8160681762397,1217.054421974759,1343.5796302723331
204,1084.8160681762397,1216.829992968856,1343.5796302723331
205,1084.8160681762397,1215.652731875951,1343.5796302723331
206,1084.8160681762397,1214.4585447044933,1343.5796302723331
207,1084.8160681762397,1214.221738478848,1343.5796302723331
208,1084.8160681762397,1213.8247696814792,1343.5796302723331
209,1084.8160681762397,1213.4571613110213,1343.5796302723331
210,1084.8160681762397,1212.688128720937,1343.5796302723331
211,1084.8160681762397,1212.4819145847841,1343.5796302723331
212,1084.8160681762397,1210.7115832183833,1343.5796302723331
213,1084.8160681762397,1209.751705189036,1343.5796302723331
214,1084.8160681762397,1208.4915165400569,1343.5796302723331
215,1084.8160681762397,1208.4915165400569,1343.5796302723331
216,1084.8160681762397,1207.6771520556242,1343.5796302723331
217,1084.8160681762397,1207.312607180675,1343.5796302723331
218,1084.8160681762397,1205.374592303453,1331.969020875347
219,1084.8160681762397,1205.0514401383161,1331.969020875347
220,1084.8160681762397,1204.1277240987847,1331.969020875347
221,1084.8160681762397,1203.7171323836817,1331.969020875347
222,1084.8160681762397,1202.0928249297324,1325.8871810561297
223,1084.8160681762397,1200.9079299625917,1325.8871810561297
224,1084.8160681762397,1198.869021662927,1322.7853638596812
225,1084.8160681762397,1198.8552264399038,1322.7853638596812
226,1084.8160681762397,1197.693175101448,1322.7853638596812
227,1084.8160681762397,1196.8817596984686,1322.7853638596812
228,1084.8160681762397,1195.3898643817813,1322.7853638596812
229,1084.8160681762397,1194.2982711026489,1322.7853638596812
230,1084.8160681762397,1192.5460568034507,1322.7853638596812
231,1084.8160681762397,1191.7312270768027,1322.7853638596812
232,1084.8160681762397,1190.2926824607703,1322.7853638596812
233,1084.8160681762397,1190.2926824607703,1322.7853638596812
234,1084.8160681762397,1190.021835679593,1322.7853638596812
235,1084.8160681762397,1190.021835679593,1322.7853638596812
236,1084.8160681762397,1188.3714825577213,1322.7853638596812
237,1084.8160681762397,1186.085026243653,1322.7853638596812
238,1084.8160681762397,1186.085026243653,1322.7853638596812
239,1084.8160681762397,1185.3019513279526,1322.7853638596812
240,1084.8160681762397,1185.0768393629437,1322.7853638596812
241,1084.8160681762397,1185.0768393629437,1322.7853638596812
242,1084.8160681762397,1184.5019442934013,1305.4180639097153
243,1084.8160681762397,1183.5376933929435,1305.4180639097153
244,1084.8160681762397,1183.1694327258663,1305.4180639097153
245,1084.8160681762397,1182.2194920733566,1305.4180639097153
246,1072.1438486089446,1181.723278969776,1305.4180639097153
247,1072.1438486089446,1181.436642942331,1305.4180639097153
248,1072.1438486089446,1181.2719063940829,1305.4180639097153
249,1059.600639932875,1179.7584654107238,1305.4180639097153
250,1059.600639932875,1177.8001227679251,1305.4180639097153
251,1059.600639932875,1176.5804014045495,1305.4180639097153
252,1059.600639932875,1175.8755010186749,1305.4180639097153
253,1059.600639932875,1174.2231615831693,1305.4180639097153
254,1059.600639932875,1174.0996131546037,1305.4180639097153
255,1059.600639932875,1173.9115031553235,1295.9404473169334
256,1059.600639932875,1173.2956752180153,1295.9404473169334
257,1059.600639932875,1173.0409204358714,1295.9404473169334
258,1059.600639932875,1172.6583569621125,1295.9404473169334
259,1059.600639932875,1170.4454050710283,1295.9404473169334
260,1059.600639932875,1170.4454050710283,1295.9404473169334
261,1059.600639932875,1169.5950615174002,1272.0552838725607
262,1059.600639932875,1169.248921654162,1272.0552838725607
263,1059.600639932875,1169.1371959311214,1272.0552838725607
264,1059.600639932875,1168.944511246763,1272.0552838725607
265,1059.600639932875,1168.1317933438843,1272.0552838725607
266,1059.600639932875,1167.38089509174,1272.0552838725607
267,1059.600639932875,1167.0471939111499,1272.0552838725607
268,1059.600639932875,1166.5573563863434,1272.0552838725607
269,1059.600639932875,1165.5586149644917,1272.0552838725607
270,1059.600639932875,1164.4936345049011,1272.0552838725607
271,1059.600639932875,1164.3922865843494,1272.0552838725607
272,1059.600639932875,1163.9913986728557,1272.0552838725607
273,1059.600639932875,1162.8870714874452,1272.0552838725607
274,1059.600639932875,1161.9439949737434,1257.9333258276322
275,1059.600639932875,1161.7663672963474,1257.9333258276322
276,1059.600639932875,1160.928404286367,1257.9333258276322
277,1059.600639932875,1160.928404286367,1257.9333258276322
278,1059.600639932875,1160.7077806595835,1257.9333258276322
279,1059.600639932875,1159.655054070287,1257.9333258276322
280,1059.600639932875,1159.4417320414875,1257.9333258276322
281,1059.600639932875,1158.9986128274008,1257.9333258276322
282,1059.600639932875,1158.8367211645498,1257.9333258276322
283,1059.600639932875,1158.2620958781636,1257.9333258276322
284,1059.600639932875,1157.5089961403758,1257.9333258276322
285,1059.600639932875,1157.5035682588373,1257.9333258276322
286,1059.600639932875,1157.2251755230504,1257.9333258276322
287,1059.600639932875,1155.8152695574586,1257.9333258276322
288,1059.600639932875,1153.4206140437589,1257.9333258276322
289,1059.600639932875,1152.1168797135604,1257.9333258276322
290,1059.600639932875,1151.4467264072093,1257.9333258276322
291,1059.600639932875,1151.4467264072093,1257.9333258276322
292,1059.600639932875,1150.5483250564678,1257.9333258276322
293,1059.600639932875,1149.1286462269634,1257.9333258276322
294,1059.600639932875,1149.1286462269634,1257.9333258276322
295,1059.600639932875,1148.1705945259885,1257.9333258276322
296,1059.600639932875,1147.5080669417925,1257.9333258276322
297,1059.600639932875,1146.2877518806315,1257.9333258276322
298,1059.600639932875,1145.088753716681,1257.9333258276322
299,1059.600639932875,1143.450979449313,1257.9333258276322
300,1059.600639932875,1142.7054025153852,1246.7864977958275
301,1059.600639932875,1142.6343233443267,1246.7864977958275
302,1059.600639932875,1141.8812580521608,1246.7864977958275
303,1059.600639932875,1141.024766605937,1246.7864977958275
304,1040.3026877267907,1139.169816557914,1246.7864977958275
305,1040.3026877267907,1137.3999173234286,1233.3522823014039
306,1040.3026877267907,1137.3999173234286,1233.3522823014039
307,1040.3026877267907,1136.5039183886265,1233.3522823014039
308,1040.3026877267907,1136.478146598499,1233.3522823014039
309,1040.3026877267907,1136.0419388937582,1233.3522823014039
310,1040.3026877267907,1136.0419388937582,1233.3522823014039
311,1040.3026877267907,1135.3185877978008,1233.3522823014039
312,1040.3026877267907,1134.688999025578,1233.3522823014039
313,1040.3026877267907,1134.688999025578,1233.3522823014039
314,1040.3026877267907,1134.3374303501778,1233.3522823014039
315,1040.3026877267907,1134.3374303501778,1233.3522823014039
316,1040.3026877267907,1133.8375101080335,1233.3522823014039
317,1040.3026877267907,1133.4861755496706,1233.3522823014039
318,1040.3026877267907,1133.473556620214,1233.3522823014039
319,1040.3026877267907,1131.9948439397538,1233.3522823014039
320,1040.3026877267907,1130.0244453243872,1233.3522823014039
321,1040.3026877267907,1129.654570166549,1233.3161318404557
322,1040.3026877267907,1128.7032573407153,1233.3161318404557
323,1040.3026877267907,1128.1148972255899,1215.2781434078931
324,1040.3026877267907,1128.1148972255899,1215.2781434078931
325,1040.3026877267907,1126.701332656249,1215.2781434078931
326,1040.3026877267907,1125.524263910928,1215.2781434078931
327,1040.3026877267907,1125.5168178047943,1215.2781434078931
328,1040.3026877267907,1124.3465930320892,1215.2781434078931
329,1040.3026877267907,1122.4551782910976,1215.2781434078931
330,1040.3026877267907,1122.4551782910976,1215.2781434078931
331,1040.3026877267907,1122.3453021438008,1215.2781434078931
332,1040.3026877267907,1122.2591700475318,1215.2781434078931
333,1040.3026877267907,1122.2591700475318,1215.2781434078931
334,1040.3026877267907,1122.2591700475318,1215.2781434078931
335,1040.3026877267907,1122.2424279171928,1215.2781434078931
336,1040.3026877267907,1122.041101811213,1215.2781434078931
337,1040.3026877267907,1122.041101811213,1215.2781434078931
338,1040.3026877267907,1121.5980940149525,1215.2781434078931
339,1040.3026877267907,1120.1475556615212,1215.2781434078931
340,1040.3026877267907,1119.4547945058923,1215.2781434078931
341,1040.3026877267907,1119.0297102949378,1215.2781434078931
342,1040.3026877267907,1118.865200745512,1215.2781434078931
343,1040.3026877267907,1118.4261496113616,1215.2781434078931
344,1040.3026877267907,1118.4261496113616,1215.2781434078931
345,1040.3026877267907,1117.9694429804692,1215.2781434078931
346,1040.3026877267907,1117.9694429804692,1215.2781434078931
347,1040.3026877267907,1116.881462868764,1215.2781434078931
348,1040.3026877267907,1115.336965565105,1215.2781434078931
349,1040.3026877267907,1115.195328369062,1215.2781434078931
350,1040.3026877267907,1115.0406462882718,1215.2781434078931
351,1040.3026877267907,1113.617219146777,1215.2781434078931
352,1039.583451147489,1112.3162385351598,1215.2781434078931
353,1039.583451147489,1111.3985198097942,1215.2781434078931
354,1029.7835805278617,1109.561753835083,1215.2781434078931
355,1029.7835805278617,1109.1253367725274,1215.2781434078931
356,1022.3115678009567,1108.4307871124724,1215.2781434078931
357,1022.3115678009567,1108.4307871124724,1215.2781434078931
358,1022.3115678009567,1107.4929857983504,1215.2781434078931
359,1022.3115678009567,1107.4710900659777,1215.2781434078931
360,1022.3115678009567,1107.2975815812224,1215.2781434078931
361,1022.3115678009567,1107.2975815812224,1215.2781434078931
362,1022.3115678009567,1107.1912080262025,1215.2781434078931
363,1022.3115678009567,1107.1912080262025,1215.2781434078931
364,1022.3115678009567,1107.1912080262025,1215.2781434078931
365,1022.3115678009567,1106.681313279558,1215.2781434078931
366,1022.3115678009567,1106.681313279558,1215.2781434078931
367,1022.3115678009567,1106.0879518632396,1195.1541478102486
368,1022.3115678009567,1105.7148840178209,1195.1541478102486
369,1022.3115678009567,1105.153195841191,1195.1541478102486
370,1022.3115678009567,1105.153195841191,1195.1541478102486
371,1022.3115678009567,1105.153195841191,1195.1541478102486
372,1022.3115678009567,1105.153195841191,1195.1541478102486
373,1022.3115678009567,1104.78150510555,1195.1541478102486
374,1022.3115678009567,1104.314940196785,1195.1541478102486
375,1022.3115678009567,1103.8498372642835,1195.1541478102486
376,1022.3115678009567,1103.8269228851009,1195.1541478102486
377,1022.3115678009567,1103.0522845838939,1195.1541478102486
378,1022.3115678009567,1102.567003542314,1195.1541478102486
379,1022.3115678009567,1101.6667829350838,1195.1541478102486
380,1022.3115678009567,1101.1667029262055,1195.1541478102486
381,1022.3115678009567,1100.2680428887688,1195.1541478102486
382,1022.3115678009567,1100.2362784713084,1195.1541478102486
383,1022.3115678009567,1099.6949513760126,1195.1541478102486
384,1022.3115678009567,1099.379206882374,1195.1541478102486
385,1022.3115678009567,1098.8683347279982,1195.1541478102486
386,1022.3115678009567,1098.8683347279982,1195.1541478102486
387,1022.3115678009567,1098.5309577132416,1195.1541478102486
388,1022.3115678009567,1098.5309577132416,1195.1541478102486
389,1022.3115678009567,1098.5309577132416,1195.1541478102486
390,1022.3115678009567,1096.9445700138012,1195.1541478102486
391,1022.3115678009567,1096.9445700138012,1195.1541478102486
392,1022.3115678009567,1096.7933707156574,1195.1541478102486
393,1022.3115678009567,1096.3396548837025,1195.1541478102486
394,1022.3115678009567,1096.125765630121,1195.1541478102486
395,1022.3115678009567,1096.125765630121,1195.1541478102486
396,1022.3115678009567,1095.5755216843938,1195.1541478102486
397,1022.3115678009567,1094.2275245575233,1195.1541478102486
398,1022.3115678009567,1094.2275245575233,1195.1541478102486
399,1022.3115678009567,1094.2265955450248,1195.1541478102486
400,1022.3115678009567,1094.2265955450248,1195.1541478102486
401,1022.3115678009567,1093.5758307218566,1171.0692072306679
402,1022.3115678009567,1093.5758307218566,1171.0692072306679
403,1022.3115678009567,1092.7403677485686,1171.0692072306679
404,1022.3115678009567,1092.7341731219474,1171.0692072306679
405,1022.3115678009567,1092.7341731219474,1171.0692072306679
406,1022.3115678009567,1092.7250069137806,1171.0692072306679
407,1022.3115678009567,1092.7250069137806,1171.0692072306679
408,1022.3115678009567,1091.6128850665161,1171.0692072306679
409,1022.3115678009567,1091.1372913642158,1171.0692072306679
410,1022.3115678009567,1091.0542769628871,1171.0692072306679
411,1022.3115678009567,1090.9548082517244,1171.0692072306679
412,1022.3115678009567,1090.9548082517244,1171.0692072306679
413,1022.3115678009567,1090.878894639497,1171.0692072306679
414,1022.3115678009567,1090.782537515005,1171.0692072306679
415,1022.3115678009567,1090.782537515005,1171.0692072306679
416,1022.3115678009567,1090.4878281593726,1171.0692072306679
417,1022.3115678009567,1090.4878281593726,1171.0692072306679
418,1022.3115678009567,1090.2424932192214,1171.0692072306679
419,1022.3115678009567,1090.2424932192214,1171.0692072306679
420,1022.3115678009567,1090.0008511850167,1171.0692072306679
421,1022.3115678009567,1089.8465083709536,1171.0692072306679
422,1022.3115678009567,1089.2665160332215,1171.0692072306679
423,1022.3115678009567,1089.252192280653,1171.0692072306679
424,1022.3115678009567,1088.2493139221533,1171.0692072306679
425,1022.3115678009567,1087.4036489376829,1171.0692072306679
426,1022.3115678009567,1087.4036489376829,1171.0692072306679
427,1022.3115678009567,1086.9173680927818,1171.0692072306679
428,1022.3115678009567,1085.2105016751432,1171.0692072306679
429,1022.3115678009567,1085.2105016751432,1171.0692072306679
430,1022.3115678009567,1084.6953882255877,1171.0692072306679
431,1022.3115678009567,1084.6953882255877,1171.0692072306679
432,1022.3115678009567,1084.6953882255877,1171.0692072306679
433,1022.3115678009567,1084.6953882255877,1171.0692072306679
434,1022.3115678009567,1084.2284527396173,1171.0692072306679
435,1022.3115678009567,1084.1726838765226,1171.0692072306679
436,1022.3115678009567,1083.5049894338924,1171.0692072306679
437,1022.3115678009567,1083.0462960329514,1171.0692072306679
438,1022.3115678009567,1082.7795621929458,1171.0692072306679
439,1022.3115678009567,1082.4728260933155,1171.0692072306679
440,1022.3115678009567,1082.2935548495284,1171.0692072306679
441,1022.3115678009567,1081.5280621322172,1171.0692072306679
442,1022.3115678009567,1081.383597035223,1171.0692072306679
443,1022.3115678009567,1080.7878655759912,1171.0692072306679
444,1022.3115678009567,1080.6796736162746,1171.0692072306679
445,1022.3115678009567,1080.6796736162746,1171.0692072306679
446,1022.3115678009567,1079.432575623569,1171.0692072306679
447,1022.3115678009567,1079.11152646548,1171.0692072306679
448,1003.7680272744069,1078.472167721244,1171.0692072306679
449,1003.7680272744069,1078.472167721244,1171.0692072306679
450,1003.7680272744069,1077.1698801458544,1171.0692072306679
451,1003.7680272744069,1076.3180660010369,1171.0692072306679
452,1003.7680272744069,1075.9711425942987,1171.0692072306679
453,1003.7680272744069,1075.9711425942987,1171.0692072306679
454,1003.7680272744069,1075.9682762833488,1171.0692072306679
455,1003.7680272744069,1074.6032178389632,1171.0692072306679
456,1003.7680272744069,1074.024372807746,1171.0692072306679
457,1003.7680272744069,1073.7898524253633,1171.0692072306679
458,1003.7680272744069,1073.7898524253633,1171.0692072306679
459,1003.7680272744069,1073.7898524253633,1171.0692072306679
460,1003.7680272744069,1073.683074095924,1171.0692072306679
461,1003.7680272744069,1072.8635303972092,1171.0692072306679
462,1003.7680272744069,1072.5420904022146,1171.0692072306679
463,1003.7680272744069,1072.5420904022146,1171.0692072306679
464,1003.7680272744069,1072.5420904022146,1171.0692072306679
465,1003.7680272744069,1072.493513922569,1171.0692072306679
466,1003.7680272744069,1072.493513922569,1171.0692072306679
467,1003.7680272744069,1072.4687865333615,1171.0692072306679
468,1003.7680272744069,1072.4687865333615,1171.0692072306679
469,1003.7680272744069,1072.4436103160235,1171.0692072306679
470,1003.7680272744069,1071.5931349817313,1171.0692072306679
471,1003.7680272744069,1071.4928673090299,1171.0692072306679
472,1003.7680272744069,1071.3790865003316,1171.0692072306679
473,1003.7680272744069,1070.49160602779,1156.2540095714166
474,1003.7680272744069,1070.49160602779,1156.2540095714166
475,1003.7680272744069,1070.3155513391905,1156.2540095714166
476,1003.7680272744069,1070.2477630600133,1156.2540095714166
477,1003.7680272744069,1069.982631422583,1156.2540095714166
478,1003.7680272744069,1069.982631422583,1156.2540095714166
479,1003.7680272744069,1069.5023591383206,1156.2540095714166
480,1003.7680272744069,1069.5023591383206,1156.2540095714166
481,1003.7680272744069,1069.0725947131414,1156.2540095714166
482,1003.7680272744069,1068.73167034551,1156.2540095714166
483,1003.7680272744069,1068.1324779095005,1156.2540095714166
484,1003.7680272744069,1068.1324779095005,1156.2540095714166
485,1003.7680272744069,1068.1324779095005,1156.2540095714166
486,1003.7680272744069,1067.178530024984,1156.2540095714166
487,1003.7680272744069,1067.0156639670354,1156.2540095714166
488,1003.7680272744069,1066.9448764683102,1156.2540095714166
